"date","team","goals","elo","rank","match_id","stage"
"3-Mar-2014","Iran","3",1730,29,"2014-1","Asian Cup qualifier"
"3-Mar-2014","Kuwait","2",1543,70,"2014-1","Asian Cup qualifier"
"5-Mar-2014","Algeria","2",1586,55,"2014-2","Friendly"
"5-Mar-2014","Slovenia","0",1633,48,"2014-2","Friendly"
"5-Mar-2014","Austria","1",1663,47,"2014-3","Friendly"
"5-Mar-2014","Uruguay","1",1911,10,"2014-3","Friendly"
"5-Mar-2014","Belgium","2",1828,18,"2014-4","Friendly"
"5-Mar-2014","Ivory Coast","2",1778,22,"2014-4","Friendly"
"5-Mar-2014","Colombia","1",1918,6,"2014-5","Friendly"
"5-Mar-2014","Tunisia","1",1508,81,"2014-5","Friendly"
"5-Mar-2014","Costa Rica","2",1718,25,"2014-6","Friendly"
"5-Mar-2014","Paraguay","1",1688,39,"2014-6","Friendly"
"5-Mar-2014","Ecuador","4",1837,15,"2014-7","Friendly"
"5-Mar-2014","Australia","3",1715,30,"2014-7","Friendly"
"5-Mar-2014","Egypt","2",1695,28,"2014-8","Friendly"
"5-Mar-2014","Bosnia and Herzegovina","0",1746,23,"2014-8","Friendly"
"5-Mar-2014","England","1",1934,6,"2014-9","Friendly"
"5-Mar-2014","Denmark","0",1741,28,"2014-9","Friendly"
"5-Mar-2014","France","2",1881,12,"2014-10","Friendly"
"5-Mar-2014","Netherlands","0",1972,5,"2014-10","Friendly"
"5-Mar-2014","Germany","1",2086,3,"2014-11","Friendly"
"5-Mar-2014","Chile","0",1912,9,"2014-11","Friendly"
"5-Mar-2014","Greece","0",1791,16,"2014-12","Friendly"
"5-Mar-2014","South Korea","2",1679,31,"2014-12","Friendly"
"5-Mar-2014","Honduras","2",1686,43,"2014-13","Friendly"
"5-Mar-2014","Venezuela","1",1689,37,"2014-13","Friendly"
"5-Mar-2014","Iran","1",1703,29,"2014-14","Friendly"
"5-Mar-2014","Guinea","2",1515,69,"2014-14","Friendly"
"5-Mar-2014","Japan","4",1765,23,"2014-15","Friendly"
"5-Mar-2014","New Zealand","2",1542,71,"2014-15","Friendly"
"5-Mar-2014","Mexico","0",1805,21,"2014-16","Friendly"
"5-Mar-2014","Nigeria","0",1722,27,"2014-16","Friendly"
"5-Mar-2014","Montenegro","1",1601,56,"2014-17","Friendly"
"5-Mar-2014","Ghana","0",1683,38,"2014-17","Friendly"
"5-Mar-2014","Portugal","5",1931,6,"2014-18","Friendly"
"5-Mar-2014","Cameroon","1",1597,57,"2014-18","Friendly"
"5-Mar-2014","Romania","0",1719,30,"2014-19","Friendly"
"5-Mar-2014","Argentina","0",2011,4,"2014-19","Friendly"
"5-Mar-2014","Russia","2",1845,13,"2014-20","Friendly"
"5-Mar-2014","Armenia","0",1575,64,"2014-20","Friendly"
"5-Mar-2014","South Africa","0",1577,63,"2014-21","Friendly"
"5-Mar-2014","Brazil","5",2132,1,"2014-21","Friendly"
"5-Mar-2014","Spain","1",2104,2,"2014-22","Friendly"
