"team","elo"
"Brazil","2142"
"Germany","2077"
"Spain","2044"
"France","1987"
"Argentina","1986"
"Portugal","1970"
"England","1948"
"Belgium","1939"
"Colombia","1928"
"Peru","1915"
"Uruguay","1894"
"Switzerland","1890"
"Denmark","1856"
"Croatia","1853"
"Mexico","1850"
"Poland","1831"
"Sweden","1795"
"Iran","1789"
"Serbia","1777"
"Iceland","1764"
"Senegal","1750"
"Costa Rica","1744"
"Australia","1742"
"Morocco","1733"
"South Korea","1714"
"Japan","1684"
"Nigeria","1681"
"Russia","1678"
"Panama","1659"
"Tunisia","1657"
"Egypt","1646"
"Saudi Arabia","1591"
