"date","team","goals","elo","rank","match_id","stage"
"1-Mar-1998","Japan",2,1784,21,"1998-1","Dynasty Cup"
"1-Mar-1998","South Korea",1,1754,25,"1998-1","Dynasty Cup"
"4-Mar-1998","South Korea",2,1764,24,"1998-2","Dynasty Cup"
"4-Mar-1998","China",1,1624,48,"1998-2","Dynasty Cup"
"7-Mar-1998","Japan",0,1720,22,"1998-3","Dynasty Cup"
"7-Mar-1998","China",2,1634,37,"1998-3","Dynasty Cup"
"10-Mar-1998","Argentina",2,1847,15,"1998-4","Friendly"
"10-Mar-1998","Bulgaria",0,1803,18,"1998-4","Friendly"
"14-Mar-1998","United States",2,1739,31,"1998-5","Friendly"
"14-Mar-1998","Paraguay",2,1757,26,"1998-5","Friendly"
"18-Mar-1998","Mexico",1,1843,17,"1998-6","Friendly"
"18-Mar-1998","Paraguay",1,1759,26,"1998-6","Friendly"
"18-Mar-1998","Romania",0,1849,10,"1998-7","Friendly"
"18-Mar-1998","Israel",1,1643,45,"1998-7","Friendly"
"25-Mar-1998","Austria",2,1717,30,"1998-8","Friendly"
"25-Mar-1998","Hungary",3,1589,56,"1998-8","Friendly"
"25-Mar-1998","Belgium",2,1806,17,"1998-9","Friendly"
"25-Mar-1998","Norway",2,1865,14,"1998-9","Friendly"
"25-Mar-1998","Colombia",0,1768,25,"1998-10","Friendly"
"25-Mar-1998","Yugoslavia",0,1959,7,"1998-10","Friendly"
"25-Mar-1998","Germany",1,2052,2,"1998-11","Friendly"
"25-Mar-1998","Brazil",2,2101,1,"1998-11","Friendly"
"25-Mar-1998","Macedonia",1,1511,60,"1998-12","Friendly"
"25-Mar-1998","Bulgaria",0,1783,19,"1998-12","Friendly"
"25-Mar-1998","Russia",1,1872,11,"1998-13","Friendly"
"25-Mar-1998","France",0,1993,4,"1998-13","Friendly"
"25-Mar-1998","Scotland",0,1774,22,"1998-14","Friendly"
"25-Mar-1998","Denmark",1,1929,9,"1998-14","Friendly"
"25-Mar-1998","Spain",4,2033,3,"1998-15","Friendly"
"25-Mar-1998","Sweden",0,1802,18,"1998-15","Friendly"
"25-Mar-1998","Switzerland",1,1673,39,"1998-16","Friendly"
"25-Mar-1998","England",1,1966,6,"1998-16","Friendly"
"25-Mar-1998","Wales",0,1576,61,"1998-17","Friendly"
"25-Mar-1998","Jamaica",0,1680,40,"1998-17","Friendly"
"29-Mar-1998","Colombia",1,1771,25,"1998-18","Friendly"
"29-Mar-1998","Paraguay",1,1764,26,"1998-18","Friendly"
"1-Apr-1998","South Korea",2,1774,24,"1998-19","Friendly"
"1-Apr-1998","Japan",1,1743,27,"1998-19","Friendly"
"8-Apr-1998","Romania",2,1867,13,"1998-20","Friendly"
"8-Apr-1998","Greece",1,1724,33,"1998-20","Friendly"
"14-Apr-1998","Iran",1,1668,43,"1998-21","Friendly"
"14-Apr-1998","Kuwait",1,1617,51,"1998-21","Friendly"
"15-Apr-1998","Israel",2,1661,39,"1998-22","Friendly"
"15-Apr-1998","Argentina",1,1831,16,"1998-22","Friendly"
"15-Apr-1998","Mexico",1,1848,15,"1998-23","Friendly"
"15-Apr-1998","Peru",0,1711,34,"1998-23","Friendly"
"15-Apr-1998","Slovakia",0,1718,33,"1998-24","Friendly"
"15-Apr-1998","South Korea",0,1781,24,"1998-24","Friendly"
"18-Apr-1998","Macedonia",2,1526,66,"1998-25","Friendly"
"18-Apr-1998","South Korea",2,1774,24,"1998-25","Friendly"
"20-Apr-1998","Iran",0,1606,44,"1998-26","Friendly tournament"
"20-Apr-1998","Hungary",2,1605,45,"1998-26","Friendly tournament"
"20-Apr-1998","Macedonia",2,1530,64,"1998-27","Friendly tournament"
"20-Apr-1998","Jamaica",1,1638,40,"1998-27","Friendly tournament"
"22-Apr-1998","Austria",0,1689,32,"1998-28","Friendly"
"22-Apr-1998","United States",3,1741,22,"1998-28","Friendly"
"22-Apr-1998","Belgium",1,1805,19,"1998-29","Friendly"
"22-Apr-1998","Romania",1,1871,13,"1998-29","Friendly"
"22-Apr-1998","Bulgaria",2,1798,21,"1998-30","Friendly"
"22-Apr-1998","Morocco",1,1724,31,"1998-30","Friendly"
"22-Apr-1998","Chile",2,1777,22,"1998-31","Friendly"
"22-Apr-1998","Colombia",2,1771,23,"1998-31","Friendly"
"22-Apr-1998","Croatia",4,1864,15,"1998-32","Friendly"
"22-Apr-1998","Poland",1,1647,47,"1998-32","Friendly"
"22-Apr-1998","Denmark",0,1894,9,"1998-33","Friendly"
"22-Apr-1998","Norway",2,1866,6,"1998-33","Friendly"
"22-Apr-1998","England",3,1971,6,"1998-34","Friendly"
"22-Apr-1998","Portugal",0,1867,10,"1998-34","Friendly"
"22-Apr-1998","Germany",1,2064,2,"1998-35","Friendly"
"22-Apr-1998","Nigeria",0,1715,34,"1998-35","Friendly"
"22-Apr-1998","Iran",1,1639,46,"1998-36","Friendly tournament"
"22-Apr-1998","Jamaica",0,1635,46,"1998-36","Friendly tournament"
"22-Apr-1998","Ireland",0,1683,37,"1998-37","Friendly"
"22-Apr-1998","Argentina",2,1844,15,"1998-37","Friendly"
"22-Apr-1998","Italy",3,1978,5,"1998-38","Friendly"
"22-Apr-1998","Paraguay",1,1756,26,"1998-38","Friendly"
"22-Apr-1998","Scotland",1,1767,22,"1998-39","Friendly"
"22-Apr-1998","Finland",1,1525,67,"1998-39","Friendly"
"22-Apr-1998","Sweden",0,1807,19,"1998-40","Friendly"
"22-Apr-1998","France",0,1998,4,"1998-40","Friendly"
"22-Apr-1998","Yugoslavia",3,1962,7,"1998-41","Friendly"
"22-Apr-1998","South Korea",1,1768,24,"1998-41","Friendly"
"29-Apr-1998","Brazil",0,2077,1,"1998-42","Friendly"
"29-Apr-1998","Argentina",1,1858,10,"1998-42","Friendly"
"29-Apr-1998","Chile",1,1780,22,"1998-43","Friendly"
"29-Apr-1998","Lithuania",0,1532,67,"1998-43","Friendly"
"2-May-1998","Tunisia",1,1636,50,"1998-44","Friendly"
"2-May-1998","Georgia",1,1667,42,"1998-44","Friendly"
"4-May-1998","Jamaica",0,1647,49,"1998-45","Friendly"
"4-May-1998","Saudi Arabia",0,1636,51,"1998-45","Friendly"
"9-May-1998","Mexico",6,1855,17,"1998-46","Friendly"
"9-May-1998","Estonia",0,1187,158,"1998-46","Friendly"
"9-May-1998","Saudi Arabia",2,1636,49,"1998-47","Friendly"
"9-May-1998","Trinidad and Tobago",1,1475,79,"1998-47","Friendly"
"13-May-1998","Iceland",1,1469,78,"1998-48","Friendly"
"13-May-1998","Saudi Arabia",1,1632,50,"1998-48","Friendly"
"14-May-1998","Argentina",5,1876,11,"1998-49","Friendly"
"14-May-1998","Bosnia and Herzegovina",0,1619,53,"1998-49","Friendly"
"16-May-1998","South Korea",2,1773,21,"1998-50","Friendly"
"16-May-1998","Jamaica",1,1639,49,"1998-50","Friendly"
"16-May-1998","United States",0,1749,26,"1998-51","Friendly"
"16-May-1998","Macedonia",0,1555,59,"1998-51","Friendly"
"17-May-1998","Japan",1,1742,30,"1998-52","Friendly tournament"
"17-May-1998","Paraguay",1,1760,26,"1998-52","Friendly tournament"
"17-May-1998","Saudi Arabia",2,1637,49,"1998-53","Friendly"
"17-May-1998","Namibia",1,1329,123,"1998-53","Friendly"
"19-May-1998","Argentina",1,1881,10,"1998-54","Friendly"
"19-May-1998","Chile",0,1772,22,"1998-54","Friendly"
"19-May-1998","Cameroon",2,1560,61,"1998-55","Friendly"
"19-May-1998","Burkina Faso",0,1390,104,"1998-55","Friendly"
"19-May-1998","South Korea",0,1765,23,"1998-56","Friendly"
"19-May-1998","Jamaica",0,1643,49,"1998-56","Friendly"
"20-May-1998","Norway",5,1888,10,"1998-57","Friendly"
"20-May-1998","Mexico",2,1834,17,"1998-57","Friendly"
"20-May-1998","South Africa",1,1648,46,"1998-58","Friendly"
"20-May-1998","Zambia",1,1623,52,"1998-58","Friendly"
